Measure,Condition,Group,T1,T2,T3
N400 Amplitude (µV),Control,CG,2.82±1.22,3.14±1.24,3.07±1.49
N400 Amplitude (µV),Control,EG,3.38±0.89,2.78±1.12,2.36±1.20
N400 Amplitude (µV),Target,CG,4.94±1.51,5.07±1.47,5.34±2.11
N400 Amplitude (µV),Target,EG,5.79±1.26,4.73±1.77,3.82±1.84
N400 Amplitude (µV),Mismatch,CG,7.57±1.96,7.87±2.18,7.93±2.66
N400 Amplitude (µV),Mismatch,EG,8.57±1.90,6.58±2.27,5.62±2.33
Reaction Time (ms),Control,CG,667.9±85.2,643.9±118.3,668.7±89.4
Reaction Time (ms),Control,EG,687.2±108.1,683.9±108.4,598.2±114.3
Reaction Time (ms),Target,CG,1140.7±137.6,1072.7±162.9,1135.0±136.0
Reaction Time (ms),Target,EG,1149.1±143.8,1120.5±147.0,1007.3±131.5
Reaction Time (ms),Mismatch,CG,1720.8±192.5,1624.8±207.6,1695.2±213.2
Reaction Time (ms),Mismatch,EG,1735.6±227.7,1678.1±232.4,1493.1±183.1
Oral Fluency (Score),Control,CG,95.13±7.00,94.82±7.06,95.13±7.76
Oral Fluency (Score),Control,EG,94.90±7.04,96.72±6.51,98.79±2.98
Oral Fluency (Score),Target,CG,70.35±9.43,73.14±9.19,71.82±10.16
Oral Fluency (Score),Target,EG,70.40±9.94,73.36±9.19,79.01±8.79
Oral Fluency (Score),Mismatch,CG,35.26±6.81,36.01±7.21,36.03±6.71
Oral Fluency (Score),Mismatch,EG,35.84±6.09,36.79±8.92,39.65±8.33
L1 Pragmatic Reliance,Control,CG,5.52±1.44,5.18±1.82,4.47±1.47
L1 Pragmatic Reliance,Control,EG,5.36±1.53,5.13±1.64,3.26±1.59
L1 Pragmatic Reliance,Target,CG,9.18±2.32,8.46±2.38,7.82±2.47
L1 Pragmatic Reliance,Target,EG,9.30±2.22,8.35±2.73,6.16±2.58
L1 Pragmatic Reliance,Mismatch,CG,13.81±3.25,12.69±3.57,12.02±3.39
L1 Pragmatic Reliance,Mismatch,EG,13.56±3.55,12.27±4.44,9.32±3.87
L1 Calque Errors,Control,CG,4.14±1.56,4.16±1.29,3.90±1.86
L1 Calque Errors,Control,EG,4.17±1.51,3.00±1.65,2.37±1.62
L1 Calque Errors,Target,CG,7.27±2.39,6.69±2.24,6.77±2.51
L1 Calque Errors,Target,EG,6.54±2.38,5.22±2.33,3.49±2.24
L1 Calque Errors,Mismatch,CG,10.66±3.61,10.14±3.55,10.15±3.55
L1 Calque Errors,Mismatch,EG,9.99±3.93,7.48±3.25,5.28±3.22
