Measure,Source,SS,df,MS,F,p,η_p^2
N400 Amplitude,Group,39.52,"1, 78",39.52,5.631,.020,0.067
N400 Amplitude,Time,16.92,"2, 156",8.46,5.542,.005,0.066
N400 Amplitude,Condition,2697.57,"2, 156",1348.78,1120.007,< .001,0.935
N400 Amplitude,Group x Time,34.19,"2, 156",17.1,11.199,< .001,0.126
N400 Amplitude,Group x Condition,17.88,"2, 156",8.94,7.426,< .001,0.087
N400 Amplitude,Time x Condition,8.89,"4, 312",2.22,4.39,.002,0.053
N400 Amplitude,Group x Time x Condition,11.2,"4, 312",2.8,5.527,< .001,0.066
Reaction Time,Group,143329.8,"1, 78",143329.8,1.496,.225,0.019
Reaction Time,Time,174668.7,"2, 156",87334.3,7.577,< .001,0.089
Reaction Time,Condition,118432364.5,"2, 156",59216182.3,7265.695,< .001,0.989
Reaction Time,Group x Time,228148.9,"2, 156",114074.4,9.897,< .001,0.113
Reaction Time,Group x Condition,49441.7,"2, 156",24720.8,3.033,.051,0.037
Reaction Time,Time x Condition,84501.9,"4, 312",21125.5,6.258,< .001,0.074
Reaction Time,Group x Time x Condition,59430.7,"4, 312",14857.7,4.401,.002,0.053
Oral Fluency,Group,29.58,"1, 78",29.58,5.524,.021,0.066
Oral Fluency,Time,9.17,"2, 156",4.58,4.732,.010,0.057
Oral Fluency,Condition,7078.69,"2, 156",3539.35,7280.97,< .001,0.989
Oral Fluency,Group x Time,6.0,"2, 156",3.0,3.093,.048,0.038
Oral Fluency,Group x Condition,0.39,"2, 156",0.2,0.404,.669,0.005
Oral Fluency,Time x Condition,2.5,"4, 312",0.63,1.814,.126,0.023
Oral Fluency,Group x Time x Condition,1.85,"4, 312",0.46,1.336,.256,0.017
L1 Pragmatic Reliance,Group,17.51,"1, 78",17.51,4.597,.035,0.056
L1 Pragmatic Reliance,Time,25.13,"2, 156",12.56,18.602,< .001,0.193
L1 Pragmatic Reliance,Condition,3704.99,"2, 156",1852.49,1647.83,< .001,0.955
L1 Pragmatic Reliance,Group x Time,4.55,"2, 156",2.28,3.371,.037,0.041
L1 Pragmatic Reliance,Group x Condition,8.48,"2, 156",4.24,3.77,.025,0.046
L1 Pragmatic Reliance,Time x Condition,9.38,"4, 312",2.35,5.418,< .001,0.065
L1 Pragmatic Reliance,Group x Time x Condition,2.5,"4, 312",0.63,1.444,.219,0.018
L1 Calque Errors,Group,373.19,"1, 78",373.19,41.043,< .001,0.345
L1 Calque Errors,Time,94.75,"2, 156",47.37,11.071,< .001,0.124
L1 Calque Errors,Condition,6791.66,"2, 156",3395.83,985.394,< .001,0.927
L1 Calque Errors,Group x Time,55.63,"2, 156",27.82,6.501,.002,0.077
L1 Calque Errors,Group x Condition,202.47,"2, 156",101.23,29.375,< .001,0.274
L1 Calque Errors,Time x Condition,46.12,"4, 312",11.53,6.386,< .001,0.076
L1 Calque Errors,Group x Time x Condition,37.28,"4, 312",9.32,5.161,< .001,0.062
